model,rep_type,layer,alpha,l1_ratio,rho_mean,rho_std,n_nonzero_mean,n_nonzero_std,n_train,n_test,n_groups,n_folds
Qwen3-4B,last,4,0.05,1.0,0.3857,0.0898,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,last,16,0.05,1.0,0.3829,0.0399,3.6,1.62,3840.0,960.0,600,5
Qwen3-4B,last,13,0.05,1.0,0.381,0.0244,3.0,1.41,3840.0,960.0,600,5
Qwen3-4B,last,9,0.05,1.0,0.375,0.0261,2.0,0.89,3840.0,960.0,600,5
Qwen3-4B,last,8,0.05,1.0,0.3652,0.0377,1.8,0.75,3840.0,960.0,600,5
Qwen3-4B,last,10,0.05,1.0,0.3589,0.0545,1.8,0.75,3840.0,960.0,600,5
Qwen3-4B,last,35,0.05,1.0,0.3536,0.0287,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,last,3,0.05,1.0,0.3532,0.0674,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,last,5,0.05,1.0,0.3391,0.0677,1.6,0.49,3840.0,960.0,600,5
Qwen3-4B,last,2,0.05,1.0,0.332,0.0686,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,last,6,0.05,1.0,0.3118,0.0685,2.6,1.36,3840.0,960.0,600,5
Qwen3-4B,last,7,0.05,1.0,0.3061,0.0528,1.6,0.49,3840.0,960.0,600,5
Qwen3-4B,last,12,0.05,1.0,0.2889,0.1551,1.8,0.98,3840.0,960.0,600,5
Qwen3-4B,last,11,0.05,1.0,0.2797,0.1514,1.4,1.02,3840.0,960.0,600,5
Qwen3-4B,last,1,0.05,1.0,0.2692,0.1373,0.8,0.4,3840.0,960.0,600,5
Qwen3-4B,last,34,0.05,1.0,0.2453,0.1279,1.0,0.63,3840.0,960.0,600,5
Qwen3-4B,last,0,0.05,1.0,0.0882,0.1128,0.4,0.49,3840.0,960.0,600,5
Qwen3-4B,mean,23,0.05,1.0,0.4754,0.097,2.4,1.02,3840.0,960.0,600,5
Qwen3-4B,mean,22,0.05,1.0,0.4714,0.1089,3.0,1.67,3840.0,960.0,600,5
Qwen3-4B,mean,16,0.05,1.0,0.4612,0.1065,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,19,0.05,1.0,0.4557,0.0689,1.6,0.49,3840.0,960.0,600,5
Qwen3-4B,mean,21,0.05,1.0,0.4531,0.0731,1.4,0.8,3840.0,960.0,600,5
Qwen3-4B,mean,20,0.05,1.0,0.4483,0.0628,1.8,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,17,0.05,1.0,0.4455,0.1133,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,26,0.05,1.0,0.4414,0.0566,2.8,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,27,0.05,1.0,0.4388,0.0588,2.8,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,18,0.05,1.0,0.4344,0.0665,1.8,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,24,0.05,1.0,0.4322,0.0684,2.8,0.98,3840.0,960.0,600,5
Qwen3-4B,mean,28,0.05,1.0,0.4316,0.0218,2.8,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,15,0.05,1.0,0.4301,0.087,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,mean,25,0.05,1.0,0.4258,0.0627,2.2,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,14,0.05,1.0,0.4217,0.1032,2.6,0.8,3840.0,960.0,600,5
Qwen3-4B,mean,13,0.05,1.0,0.4099,0.0804,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,mean,29,0.05,1.0,0.4034,0.0548,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,35,0.05,1.0,0.3961,0.0559,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,30,0.05,1.0,0.3934,0.0486,2.4,0.8,3840.0,960.0,600,5
Qwen3-4B,mean,31,0.05,1.0,0.3927,0.0621,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,32,0.05,1.0,0.3838,0.0603,2.2,0.4,3840.0,960.0,600,5
Qwen3-4B,mean,12,0.05,1.0,0.3816,0.0664,2.6,0.8,3840.0,960.0,600,5
Qwen3-4B,mean,3,0.05,1.0,0.3572,0.0628,2.0,0.63,3840.0,960.0,600,5
Qwen3-4B,mean,11,0.05,1.0,0.3536,0.0679,2.0,0.89,3840.0,960.0,600,5
Qwen3-4B,mean,4,0.05,1.0,0.343,0.0447,2.4,0.49,3840.0,960.0,600,5
Qwen3-4B,mean,33,0.05,1.0,0.2894,0.1487,1.4,1.02,3840.0,960.0,600,5
Qwen3-4B,mean,8,0.05,1.0,0.26,0.1327,1.2,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,1,0.05,1.0,0.256,0.1311,1.4,0.8,3840.0,960.0,600,5
Qwen3-4B,mean,2,0.05,1.0,0.2494,0.1302,1.8,1.33,3840.0,960.0,600,5
Qwen3-4B,mean,9,0.05,1.0,0.2453,0.1266,1.6,1.2,3840.0,960.0,600,5
Qwen3-4B,mean,5,0.05,1.0,0.2438,0.125,1.4,1.02,3840.0,960.0,600,5
Qwen3-4B,mean,10,0.05,1.0,0.2374,0.1257,1.8,1.33,3840.0,960.0,600,5
Qwen3-4B,mean,6,0.05,1.0,0.2256,0.1212,1.8,0.98,3840.0,960.0,600,5
Qwen3-4B,mean,34,0.05,1.0,0.1979,0.1621,0.6,0.49,3840.0,960.0,600,5
Qwen3-4B,mean,7,0.05,1.0,0.1672,0.1437,0.8,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,0,0.05,1.0,0.1622,0.134,1.4,1.2,3840.0,960.0,600,5
