model,rep_type,layer,alpha,l1_ratio,rho_mean,rho_std,n_nonzero_mean,n_nonzero_std,n_train,n_test,n_groups,n_folds
Qwen3-4B,last,9,0.01,1.0,0.4192,0.0703,102.8,8.63,3840.0,960.0,600,5
Qwen3-4B,last,1,0.01,1.0,0.4109,0.0238,88.8,3.87,3840.0,960.0,600,5
Qwen3-4B,last,0,0.01,1.0,0.4092,0.0629,82.2,3.54,3840.0,960.0,600,5
Qwen3-4B,mean,24,0.01,1.0,0.5453,0.0655,66.0,7.46,3840.0,960.0,600,5
Qwen3-4B,mean,22,0.01,1.0,0.5451,0.0625,70.2,3.71,3840.0,960.0,600,5
Qwen3-4B,mean,23,0.01,1.0,0.5443,0.0665,68.2,5.46,3840.0,960.0,600,5
Qwen3-4B,mean,20,0.01,1.0,0.5433,0.0653,68.8,5.74,3840.0,960.0,600,5
Qwen3-4B,mean,25,0.01,1.0,0.5383,0.0639,70.0,3.29,3840.0,960.0,600,5
Qwen3-4B,mean,31,0.01,1.0,0.5341,0.0516,84.0,5.9,3840.0,960.0,600,5
Qwen3-4B,mean,21,0.01,1.0,0.5334,0.0852,70.2,2.79,3840.0,960.0,600,5
Qwen3-4B,mean,14,0.01,1.0,0.5333,0.0807,69.6,7.0,3840.0,960.0,600,5
Qwen3-4B,mean,13,0.01,1.0,0.5299,0.0818,81.0,9.14,3840.0,960.0,600,5
Qwen3-4B,mean,19,0.01,1.0,0.5287,0.0765,65.2,5.98,3840.0,960.0,600,5
Qwen3-4B,mean,26,0.01,1.0,0.5272,0.0433,74.2,6.01,3840.0,960.0,600,5
Qwen3-4B,mean,27,0.01,1.0,0.5202,0.059,77.4,5.75,3840.0,960.0,600,5
Qwen3-4B,mean,5,0.01,1.0,0.5141,0.0594,92.4,4.45,3840.0,960.0,600,5
Qwen3-4B,mean,16,0.01,1.0,0.5135,0.0789,72.0,7.32,3840.0,960.0,600,5
Qwen3-4B,mean,33,0.01,1.0,0.5115,0.0657,90.0,3.35,3840.0,960.0,600,5
Qwen3-4B,mean,18,0.01,1.0,0.5086,0.0906,70.8,7.7,3840.0,960.0,600,5
Qwen3-4B,mean,32,0.01,1.0,0.5074,0.0485,91.4,4.13,3840.0,960.0,600,5
Qwen3-4B,mean,15,0.01,1.0,0.506,0.0794,69.6,9.07,3840.0,960.0,600,5
Qwen3-4B,mean,3,0.01,1.0,0.502,0.0615,91.4,5.46,3840.0,960.0,600,5
Qwen3-4B,mean,29,0.01,1.0,0.5015,0.0493,77.4,3.38,3840.0,960.0,600,5
Qwen3-4B,mean,30,0.01,1.0,0.5014,0.0622,77.4,4.03,3840.0,960.0,600,5
Qwen3-4B,mean,28,0.01,1.0,0.5002,0.0672,78.0,5.8,3840.0,960.0,600,5
Qwen3-4B,mean,4,0.01,1.0,0.4955,0.0457,98.0,7.77,3840.0,960.0,600,5
Qwen3-4B,mean,17,0.01,1.0,0.4907,0.0787,76.0,2.61,3840.0,960.0,600,5
Qwen3-4B,mean,8,0.01,1.0,0.4745,0.0621,85.4,9.56,3840.0,960.0,600,5
Qwen3-4B,mean,12,0.01,1.0,0.4653,0.095,78.0,4.15,3840.0,960.0,600,5
Qwen3-4B,mean,6,0.01,1.0,0.4643,0.042,96.6,6.56,3840.0,960.0,600,5
Qwen3-4B,mean,2,0.01,1.0,0.4627,0.0705,83.8,3.87,3840.0,960.0,600,5
Qwen3-4B,mean,10,0.01,1.0,0.4616,0.0745,86.0,4.47,3840.0,960.0,600,5
Qwen3-4B,mean,35,0.01,1.0,0.4606,0.0679,90.8,2.86,3840.0,960.0,600,5
Qwen3-4B,mean,11,0.01,1.0,0.4584,0.1073,84.6,4.96,3840.0,960.0,600,5
Qwen3-4B,mean,34,0.01,1.0,0.4566,0.0645,96.2,6.91,3840.0,960.0,600,5
Qwen3-4B,mean,7,0.01,1.0,0.4497,0.0477,90.0,2.45,3840.0,960.0,600,5
Qwen3-4B,mean,0,0.01,1.0,0.4264,0.0785,78.6,8.55,3840.0,960.0,600,5
Qwen3-4B,mean,1,0.01,1.0,0.4186,0.027,82.2,3.87,3840.0,960.0,600,5
Qwen3-4B,mean,9,0.01,1.0,0.415,0.0563,89.0,8.92,3840.0,960.0,600,5
