Binomial_ID,Language,A_en,B_en,A_ru,B_ru,A_B_count,B_A_count,Order_preference,Preferred_conjunction,p_corpus,evidence_tier
34,ru,song,dance,песня,танец,17289,4139,песня и танец,и,0.8068,medium
35,ru,buy,sell,покупать,продавать,12505,7545,покупать и продавать,и,0.6237,medium
36,ru,king,queen,король,королева,10669,576,король и королева,и,0.9487,medium
37,ru,sweet,sour,сладкий,кислый,941,886,сладкий и кислый,и,0.515,weak
38,ru,more,less,больше,меньше,17096,3689,больше или меньше,или,0.8225,medium
39,ru,sooner,later,рано,поздно,308947,806,рано или поздно,или,0.9974,strong
40,ru,host,guest,хозяин,гость,3337,2315,хозяин и гость,и,0.5904,weak
41,ru,hunger,thirst,голод,жажда,8776,2210,голод и жажда,и,0.7988,medium
42,ru,urban,rural,городской,сельский,25475,6278,городской и сельский,и,0.8023,strong
43,ru,life,work,жизнь,работа,16253,5495,жизнь и работа,и,0.7473,medium
44,ru,law,order,закон,порядок,10355,1561,закон и порядок,и,0.869,medium
45,ru,old,new,старый,новый,52607,16628,старый и новый,и,0.7598,strong
46,ru,eye,ear,глаз,ухо,15519,3967,глаз и ухо,и,0.7964,medium
47,ru,major,minor,главный,второстепенный,5861,141,главный и второстепенный,и,0.9764,medium
48,ru,ice,fire,лёд,огонь,65,367,огонь и лёд,и,0.1513,weak
49,ru,supply,demand,предложение,спрос,4687,65417,спрос и предложение,и,0.0669,strong
50,ru,husband,wife,муж,жена,67160,7259,муж и жена,и,0.9025,strong
51,ru,parents,children,родители,дети,8797,8440,родители и дети,и,0.5104,medium
52,ru,profit,loss,прибыль,убыток,41816,692,прибыль и убыток,и,0.9837,strong
53,ru,needle,thread,игла,нить,416,190,игла и нить,и,0.6862,weak
54,ru,virtue,vice,добродетель,порок,2351,1343,добродетель и порок,и,0.6364,weak
55,ru,word,deed,слово,поступок,11134,2575,слово и поступок,и,0.8121,medium
56,ru,church,state,церковь,государство,14550,7192,церковь и государство,и,0.6692,medium
57,ru,angel,demon,ангел,демон,6393,944,ангел и демон,и,0.8713,medium
58,ru,win,lose,побеждать,проигрывать,298,89,побеждать и проигрывать,и,0.7693,weak
59,ru,thunder,lightning,гром,молния,11081,1728,гром и молния,и,0.8651,medium
60,ru,domestic,foreign,внутренний,иностранный,771,546,внутренний и иностранный,и,0.5854,weak
61,ru,near,far,близкий,далёкий,49,208,далёкий и близкий,и,0.1919,weak
62,ru,flesh,blood,плоть,кровь,23091,4112,плоть и кровь,и,0.8488,medium
63,ru,sea,sky,море,небо,2182,2146,море и небо,и,0.5042,weak
64,ru,cheap,expensive,дешёвый,дорогой,56,93,дорогой и дешёвый,и,0.3767,weak
65,ru,oil,gas,нефть,газ,101589,9687,нефть и газ,и,0.9129,strong
66,ru,teach,learn,учить,учиться,1621,1590,учить и учиться,и,0.5048,weak
67,ru,rise,fall,подниматься,падать,706,868,падать и подниматься,и,0.4486,weak
68,ru,cause,effect,причина,следствие,29446,745,причина и следствие,и,0.9753,strong
69,ru,laugh,cry,смех,слёзы,505,110,смех и слёзы,и,0.8206,weak
70,ru,heaven,earth,небо,земля,58140,13122,небо и земля,и,0.8159,strong
71,ru,right,wrong,правильное,неправильное,1020,28,правильное и неправильное,и,0.9728,weak
72,ru,long,short,длинный,короткий,11176,9832,длинный и короткий,и,0.532,medium
73,ru,permitted,forbidden,дозволенное,запретное,52,18,дозволенное и запретное,и,0.7394,weak
74,ru,come,go,приходить,уходить,17065,1412,приходить и уходить,и,0.9236,medium
75,ru,sweet,bitter,сладкое,горькое,207,140,сладкое и горькое,и,0.5963,weak
